drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
ALCOHOL,SERTRALINE,unsupported,1033,1,13.023060701074078,-3.1723873107656804,-6.969614579127027,23.95686861607791,-4.027205291520664,-7.824432559882011,0.9821069686081647,0,-4.902139490664403,-12.925576157241188,-13.829185279566742
LEVOTHYROXINE,QUETIAPINE,unsupported,1100,1,13.131460196721804,-3.1839057055195386,-6.981132973880886,14.800620078155092,-3.3505557154208634,-7.14778298378221,0.0849846091101556,0,-11.019402573642253,-13.369624742325456,-6.770674890720538
BUPROPION,ZOPICLONE,unsupported,698,1,13.223240455357734,-3.193586778073513,-6.99081404643486,18.94034154445815,-3.696019159826336,-7.493246428187683,1.3264084682240673,0,-3.368238323699907,-11.484709132771053,-14.522858248962475
INDAPAMIDE,RAMIPRIL,unsupported,561,1,13.311225507069466,-3.202806933641114,-7.000034202002461,30.060184753186824,-4.348618859454159,-8.145846127815505,1.508564173412938,0,-12.436390207273279,-12.294741894209976,-6.290165690787469
ATORVASTATIN,DIPHENHYDRAMINE,plausible,262,1,13.3113102486983,-3.2028157855675814,-7.000043053928929,26.635071250286597,-4.177124291027838,-7.974351559389185,0.5697739230219085,0,-4.2017016229827995,-12.615021800088307,-14.446352656474224
AMLODIPINE,DILTIAZEM,plausible,759,1,13.356921795113943,-3.2075724040119,-7.004799672373247,29.75308171420383,-4.334047703407925,-8.131274971769272,1.1284491891616115,0,-5.260406175013608,-12.964591329793956,-13.436773911077752
BUPROPION,PAROXETINE,unsupported,1502,1,13.925363972753175,-3.265573314774325,-7.0628005831356715,18.78056255334479,-3.6841127401884703,-7.481340008549817,0.7655988742487819,0,-12.600628749135097,-5.602958160041497,-14.22978117898652
CLARITHROMYCIN,SULFAMETHOXAZOLE,plausible,609,1,14.04648616347569,-3.2776362932270446,-7.0748635615883915,23.25227799028439,-3.985031477617633,-7.7822587459789805,1.2981278004597632,0,-13.189204286411274,-13.115145670018299,-5.688954378692141
BUPROPION,ROSUVASTATIN,plausible,233,1,14.166813042670313,-3.289521015482311,-7.086748283843658,22.939893434470132,-3.965931604971122,-7.763158873332468,0.5943385451825406,0,-10.810271620896847,-12.110280079145687,-7.395072608710257
ALPRAZOLAM,METHAMPHETAMINE,unsupported,1111,1,14.339666680753782,-3.3064242815815192,-7.1036515499428665,23.639477481636973,-4.008360042305133,-7.80558731066648,1.393924900421438,0,-12.42429557201908,-13.147394818183251,-6.474630602606755
