drug_a,drug_b,stratum,rr_a,rr_b,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower
ASPIRIN,LIDOCAINE,easy,1.408142556196669,0.8087440194626624,320,2,0.9309969141250296,0.8049075339208368,-1.7837328444864402,0.7525536305160537,0.9970557183546223,-1.5915846600526546
ASPIRIN,LIRAGLUTIDE,easy,1.408142556196669,0.36810198848233283,97,11,0.2822084395941496,3.877936948912201,2.9013992953109016,0.104090120148947,4.250726259351986,3.2741886057506875
ASPIRIN,LOPERAMIDE,easy,1.408142556196669,0.7995864706589672,137,0,0.3985830538597783,-0.8457237598262158,-10.837611575633078,0.3190697256507488,-0.712058175744257,-10.70394599155112
ASPIRIN,LORATADINE,easy,1.408142556196669,0.07778486240416796,361,0,1.050280893747299,-1.6325296395647781,-11.62441745537164,0.08173357353544948,-0.21843047380552233,-10.210318289612385
ASPIRIN,MACITENTAN,easy,1.408142556196669,0.09258693418414832,80,0,0.2327492285312574,-0.5513914490991498,-10.543279264906012,0.02158688036082234,-0.06097948657498644,-10.052867302381848
ASPIRIN,MAGNESIUM CHLORIDE,easy,1.408142556196669,0.05260600930738085,56,0,0.16292445997188018,-0.4069163901821615,-10.398804205989025,0.008551738996626406,-0.024466463456342628,-10.016354279263206
ASPIRIN,MEPOLIZUMAB,easy,1.408142556196669,0.10120182328127245,331,0,0.9629999330480775,-1.5489297034537006,-11.540817519260564,0.09753844500632779,-0.2571034427008792,-10.248991258507742
ASPIRIN,MESALAMINE,easy,1.408142556196669,0.4076726362198592,178,0,0.5178670334820478,-1.025549110858467,-11.01743692666533,0.21117436121573246,-0.5082752191373794,-10.500163034944242
ASPIRIN,METHOTREXATE,easy,1.408142556196669,0.24831909274253947,1362,1,3.962555615744657,-1.5729076484898306,-5.370134916851177,0.9822815956136449,0.017142951860328586,-3.7800843165010183
ASPIRIN,METHYLPREDNISOLONE,easy,1.408142556196669,1.3812350131790718,882,7,3.260785367980904,0.9958566230206167,-0.26437871801768453,3.5350331870577545,0.8943100562797508,-0.36592528475855063
ASPIRIN,METOCLOPRAMIDE,easy,1.408142556196669,1.7034040784028976,383,2,1.6709024310289329,0.20363320791812056,-2.3850071704891564,1.8924883556669483,0.06341619181135047,-2.5252241865959264
ASPIRIN,METRONIDAZOLE,easy,1.408142556196669,1.2118491389176562,297,0,0.9940789484956442,-1.579256383464396,-11.57114419927126,1.0463315777728726,-1.628849707566307,-11.62073752337317
ASPIRIN,MIRABEGRON,easy,1.408142556196669,0.3751108646831739,82,4,0.23856795924453883,2.607122419816028,0.8703649327469362,0.08966514902761533,2.931957167238236,1.195199680169144
ASPIRIN,MOMETASONE,easy,1.408142556196669,0.07761127956162776,343,2,0.9979123173277661,0.7389749190604925,-1.8496654593467843,0.07739014112819839,2.1143097158462876,-0.4743306625609895
ASPIRIN,MONTELUKAST,easy,1.408142556196669,0.4447606293070124,800,0,2.327492285312574,-2.4995230878909664,-12.49141090369783,1.0305412556022797,-1.6140419331044618,-11.605929748911324
ASPIRIN,MOXIFLOXACIN,easy,1.408142556196669,1.5908702747676042,447,0,1.8461829859311016,-2.230315537918971,-12.222203353725835,2.0582185757950375,-2.355139534252321,-12.347027350059184
